case_id,faa_ors_id,faa_asn_id,usgs_project_id,eia_id,state,county,project_name,project_year,project_turbine_count,wind_capacity_mw,turbine_manufacturer,turbine_model,turbine_capacity_kw,turbine_hub_height_m,turbine_rotor_diameter_m,turbine_rotor_swept_area_m2,turbine_total_tip_height_m,turbine_retrofit_flag,turbine_retrofit_year,offshore_flag,attribute_confidence,location_confidence,image_date,image_source,longitude,latitude,fips,zip_code
3004044,,,14457.0,50276.0,CA,riverside,Wintec Palm,1986.0,22,1.43,Micon,M65,65.0,,,,,0,,0,2,3,11/3/2018,Maxar,-116.559288,33.913197,06065,92258
3011179,,,14471.0,50276.0,CA,riverside,Wintec Palm,1986.0,22,1.43,Micon,M65,65.0,,,,,0,,0,2,3,11/3/2018,Maxar,-116.560585,33.912193,06065,92258
3068342,,,14461.0,50276.0,CA,riverside,Wintec Palm,1986.0,22,1.43,Micon,M65,65.0,,,,,0,,0,2,3,11/3/2018,Maxar,-116.559288,33.912121,06065,92258
3003413,,,14469.0,50276.0,CA,riverside,Wintec Palm,1986.0,22,1.43,Micon,M65,65.0,,,,,0,,0,2,3,11/3/2018,Maxar,-116.560585,33.912796,06065,92258
3006454,,,14470.0,50276.0,CA,riverside,Wintec Palm,1986.0,22,1.43,Micon,M65,65.0,,,,,0,,0,2,3,11/3/2018,Maxar,-116.560585,33.912495,06065,92258
3068354,,,13599.0,50276.0,CA,riverside,Wintec Palm,1986.0,22,1.43,Micon,M65,65.0,,,,,0,,0,2,3,11/3/2018,Maxar,-116.559273,33.911526,06065,92258
3068340,,,14462.0,50276.0,CA,riverside,Wintec Palm,1986.0,22,1.43,Micon,M65,65.0,,,,,0,,0,2,3,11/3/2018,Maxar,-116.55928,33.911808,06065,92258
3068338,,,14468.0,50276.0,CA,riverside,Wintec Palm,1986.0,22,1.43,Micon,M65,65.0,,,,,0,,0,2,3,11/3/2018,Maxar,-116.560577,33.913021,06065,92258
3068355,,,14458.0,50276.0,CA,riverside,Wintec Palm,1986.0,22,1.43,Micon,M65,65.0,,,,,0,,0,2,3,11/3/2018,Maxar,-116.559258,33.912903,06065,92258
3006165,,,14464.0,50276.0,CA,riverside,Wintec Palm,1986.0,22,1.43,Micon,M65,65.0,,,,,0,,0,2,3,11/3/2018,Maxar,-116.559288,33.910995,06065,92258
3010995,,,14463.0,50276.0,CA,riverside,Wintec Palm,1986.0,22,1.43,Micon,M65,65.0,,,,,0,,0,2,3,11/3/2018,Maxar,-116.559311,33.911274,06065,92258
3009445,,,14465.0,50276.0,CA,riverside,Wintec Palm,1986.0,22,1.43,Micon,M65,65.0,,,,,0,,0,2,3,11/3/2018,Maxar,-116.55928,33.910736,06065,92258
3004777,,,14475.0,50276.0,CA,riverside,Wintec Palm,1986.0,22,1.43,Micon,M65,65.0,,,,,0,,0,2,3,11/3/2018,Maxar,-116.56189,33.910725,06065,92258
3068341,,,14473.0,50276.0,CA,riverside,Wintec Palm,1986.0,22,1.43,Micon,M65,65.0,,,,,0,,0,2,3,11/3/2018,Maxar,-116.56192,33.911232,06065,92258
3000815,,,14472.0,50276.0,CA,riverside,Wintec Palm,1986.0,22,1.43,Micon,M65,65.0,,,,,0,,0,2,3,11/3/2018,Maxar,-116.560585,33.911896,06065,92258
3002310,,,14456.0,50276.0,CA,riverside,Wintec Palm,1986.0,22,1.43,Micon,M65,65.0,,,,,0,,0,2,3,11/3/2018,Maxar,-116.559288,33.913494,06065,92258
3068339,,,14466.0,50276.0,CA,riverside,Wintec Palm,1986.0,22,1.43,Micon,M65,65.0,,,,,0,,0,2,3,11/3/2018,Maxar,-116.560585,33.913609,06065,92258
