outcome,blocks,term,coef,se,pval,nobs,rsquared
y_chargers,education+housing_structure+tenure,log_median_household_income,0.05219407259069889,0.13853632740979288,0.7063566587501269,1390,0.21567636446579597
y_chargers,education+housing_structure+tenure,pct_black,-0.2759806011908918,0.37633212479103256,0.46334913855107407,1390,0.21567636446579597
y_chargers,education+housing_structure+tenure,pct_hispanic,0.05640746281883975,0.1387006232709891,0.6842393596489251,1390,0.21567636446579597
y_chargers,education+housing_structure+tenure,pct_asian,-0.025966059466359593,0.1294311008521664,0.8409981832216956,1390,0.21567636446579597
y_chargers,education+housing_structure+utility_fe,log_median_household_income,-0.10518767397327304,0.14584982935709095,0.47078319437562044,1291,0.21268856060744223
y_chargers,education+housing_structure+utility_fe,pct_black,-0.40656696587545227,0.40323123519204634,0.31332366077825735,1291,0.21268856060744223
y_chargers,education+housing_structure+utility_fe,pct_hispanic,0.21941065981996877,0.15863934634682672,0.16664081538451436,1291,0.21268856060744223
y_chargers,education+housing_structure+utility_fe,pct_asian,-0.013514212470307707,0.13276681462396211,0.9189240902062064,1291,0.21268856060744223
y_chargers,county_fe+education+housing_structure,log_median_household_income,0.06520014894683537,0.14169969532423718,0.6454235797267003,1390,0.2799368440730947
y_chargers,county_fe+education+housing_structure,pct_black,0.07522750815643646,0.41104297476915364,0.8547853364063609,1390,0.2799368440730947
y_chargers,county_fe+education+housing_structure,pct_hispanic,0.018741510762400097,0.1786646022294163,0.9164569621963412,1390,0.2799368440730947
y_chargers,county_fe+education+housing_structure,pct_asian,0.22469878208358485,0.1499553484493919,0.13401950761307965,1390,0.2799368440730947
y_chargers,education+tenure+utility_fe,log_median_household_income,-0.04081312862797614,0.14375633815229077,0.7764832622458732,1291,0.20469393814493497
y_chargers,education+tenure+utility_fe,pct_black,-0.35279451363113046,0.3873524999341481,0.3624091205128819,1291,0.20469393814493497
y_chargers,education+tenure+utility_fe,pct_hispanic,0.04494060263163671,0.15356967164521348,0.7697974657633877,1291,0.20469393814493497
y_chargers,education+tenure+utility_fe,pct_asian,0.006038644957956914,0.13543149521228462,0.9644355579761649,1291,0.20469393814493497
y_chargers,county_fe+education+tenure,log_median_household_income,-0.0005584394686778607,0.13335383755827634,0.9966587468641495,1390,0.258888554447145
y_chargers,county_fe+education+tenure,pct_black,0.07655403863397284,0.40560493602306236,0.8502962845100998,1390,0.258888554447145
y_chargers,county_fe+education+tenure,pct_hispanic,-0.10108275082667541,0.17371328589545318,0.5606379579534159,1390,0.258888554447145
y_chargers,county_fe+education+tenure,pct_asian,0.17860614555229584,0.15464900415747432,0.24812605470818916,1390,0.258888554447145
y_chargers,housing_structure+housing_value+tenure,log_median_household_income,0.33338555570029627,0.14273201439445166,0.019504547810528825,1382,0.20442408870230855
y_chargers,housing_structure+housing_value+tenure,pct_black,-0.4348538905117104,0.37812509234755964,0.2501329415725345,1382,0.20442408870230855
y_chargers,housing_structure+housing_value+tenure,pct_hispanic,-0.333381492256037,0.1020779829004131,0.0010909787318143633,1382,0.20442408870230855
y_chargers,housing_structure+housing_value+tenure,pct_asian,-0.0681789139370954,0.13221122644174577,0.606076717210664,1382,0.20442408870230855
y_chargers,housing_structure+housing_value+utility_fe,log_median_household_income,0.1447765770729758,0.14563908025064443,0.3201849904195453,1283,0.19804558663610283
y_chargers,housing_structure+housing_value+utility_fe,pct_black,-0.5986982621358075,0.40689643745098003,0.14118905531760176,1283,0.19804558663610283
y_chargers,housing_structure+housing_value+utility_fe,pct_hispanic,-0.17550561649198804,0.11178448472325386,0.11640683777537922,1283,0.19804558663610283
y_chargers,housing_structure+housing_value+utility_fe,pct_asian,-0.047158201184125795,0.13586410219004397,0.7285174579863848,1283,0.19804558663610283
y_chargers,county_fe+housing_structure+housing_value,log_median_household_income,0.28780773426035133,0.1392848952804087,0.038797888398321434,1382,0.2713830030379828
y_chargers,county_fe+housing_structure+housing_value,pct_black,-0.10472213231996927,0.4128320704074929,0.7997523448018162,1382,0.2713830030379828
y_chargers,county_fe+housing_structure+housing_value,pct_hispanic,-0.3299360260393309,0.1209202456968028,0.006361489774819643,1382,0.2713830030379828
y_chargers,county_fe+housing_structure+housing_value,pct_asian,0.19679950320765233,0.15184226270742737,0.19494841611323255,1382,0.2713830030379828
y_chargers,housing_value+tenure+utility_fe,log_median_household_income,0.29704512888562945,0.1488071381002812,0.0459148484165929,1283,0.19183685459944821
y_chargers,housing_value+tenure+utility_fe,pct_black,-0.5475352002466785,0.38839355188367397,0.15861549977303768,1283,0.19183685459944821
y_chargers,housing_value+tenure+utility_fe,pct_hispanic,-0.4772341565515982,0.10788469590606561,9.708877272634347e-06,1283,0.19183685459944821
y_chargers,housing_value+tenure+utility_fe,pct_asian,-0.057948460923122155,0.13941077460419135,0.677653679112318,1283,0.19183685459944821
y_chargers,county_fe+housing_value+tenure,log_median_household_income,0.34067051965471046,0.14002742928057912,0.014979090780223196,1382,0.2494340283360258
y_chargers,county_fe+housing_value+tenure,pct_black,-0.1414487889512935,0.4040370860422715,0.7262721853790977,1382,0.2494340283360258
y_chargers,county_fe+housing_value+tenure,pct_hispanic,-0.6414375026533621,0.1200882358777744,9.22391196032004e-08,1382,0.2494340283360258
y_chargers,county_fe+housing_value+tenure,pct_asian,0.12154323619404524,0.158549160379091,0.4433214391859045,1382,0.2494340283360258
y_chargers,housing_structure+tenure+utility_fe,log_median_household_income,0.38460423596016063,0.112046907643242,0.0005979803968189291,1291,0.20252346942946764
y_chargers,housing_structure+tenure+utility_fe,pct_black,-0.7206659398660504,0.4081089684435035,0.07741825514278249,1291,0.20252346942946764
y_chargers,housing_structure+tenure+utility_fe,pct_hispanic,-0.3577636319636046,0.10610509546468967,0.0007468256411551959,1291,0.20252346942946764
y_chargers,housing_structure+tenure+utility_fe,pct_asian,-0.07385596696751462,0.13588810322568737,0.5867816253506475,1291,0.20252346942946764
y_chargers,county_fe+housing_structure+tenure,log_median_household_income,0.359910816588473,0.11495211843147748,0.0017423417773676025,1390,0.2743350670345738
y_chargers,county_fe+housing_structure+tenure,pct_black,-0.16215353568800794,0.4117747462165856,0.6937347281275017,1390,0.2743350670345738
y_chargers,county_fe+housing_structure+tenure,pct_hispanic,-0.3942767553172586,0.11365727427180818,0.0005224050848999851,1390,0.2743350670345738
y_chargers,county_fe+housing_structure+tenure,pct_asian,0.19080074344296397,0.15173037293757224,0.20857311729075112,1390,0.2743350670345738
y_chargers,education+housing_structure+housing_value+tenure,log_median_household_income,0.0816235871469372,0.15156292221571646,0.5902002401906199,1382,0.21696333121040767
