OBJECTID,CECPlantID,PlantName,Retired Plant,Operator Company,County,Capacity_Latest,Units,PriEnergySource,StartDate,CEC_Jurisdictional,x,y
2409,S0629,Intel Corporation - Folsom Carport Phase 3,0,Tesla Inc.,Sacramento,6.45,9568336-CA,SUN,9/29/2016 12:00:00 AM,0,-121.164643051,38.64547005
2410,S9096,Intel Corporation - Folsom Carport Phase 2,0,Not Available,Sacramento,1,1,SUN,1/1/2012 12:00:00 AM,0,-121.172724863,38.644235715
2411,S9098,Intel Corporation,0,Not Available,Sacramento,1,1,SUN,1/1/2012 12:00:00 AM,0,-121.167723079,38.6454980410001
2412,G0801,Kirkwood Meadows PUD,0,Kirkwood Meadows ,Amador,7.15,"1, 2, 3, 4, 5, 6, 7, 8, Old 3-8, Unit 1-8",DFO,12/5/1984 12:00:00 AM,0,-120.064650294,38.686588241
2413,W0418,Milford Wind 2 - (Utah),0,Longroad Energy,Beaver,100.5,Milford Wind 2,WND,6/10/2010 12:00:00 AM,0,-112.917733295,38.590857774
2414,S0309,Cloverdale Solar I,0,GreenLead-TNX Management,Sonoma,2,1,SUN,6/1/2014 12:00:00 AM,0,-123.019085655,38.7757603220001
2415,S0692,Cloverdale Solar Center,0,"Adapture Renewables, Inc.",Sonoma,1,Unit 1,SUN,6/11/2019 12:00:00 AM,0,-123.020461271,38.769171295
2416,S9013,Fosters Wine Estates Inc.,0,Not Available,Sonoma,1,1,SUN,1/1/2012 12:00:00 AM,0,-122.972648348,38.762562775
2417,S9305,Cloverdale Solar 1  LLC_(FSEC1),0,Not Available,Sonoma,1.5,Unit 1,SUN,12/31/2013 12:00:00 AM,0,-123.01707735,38.773895888
2418,S9306,Cloverdale Solar 2  LLC_(FSEC2),0,Not Available,Sonoma,1.5,Unit 1,SUN,12/31/2013 12:00:00 AM,0,-123.016651122,38.7747519640001
2419,T0007,West Ford Flat #4,0,Geysers Power Company LLC,Lake,28.8,"WFST1, WFST2",GEO,12/1/1988 12:00:00 AM,0,-122.722142705,38.787984538
2420,T0023,Aidlin #1,0,Geysers Power Company LLC,Sonoma,22.4,"ADST1, ADST2",GEO,5/1/1989 12:00:00 AM,0,-122.881086915,38.833908857
2421,T0027,Quick Silver #16,0,Geysers Power Company LLC,Lake,120,QKST16,GEO,1/1/1985 12:00:00 AM,1,-122.721977616,38.7879832560001
2422,T0028,Lakeview #17,0,Geysers Power Company LLC,Sonoma,120,LVST17,GEO,1/1/1982 12:00:00 AM,1,-122.781434526,38.823504024
2423,T0029,Socrates #18,0,Geysers Power Company LLC,Sonoma,120,SCST18,GEO,1/1/1983 12:00:00 AM,1,-122.747745947,38.768823915
2424,T0030,Grant #20,0,Geysers Power Company LLC,Sonoma,120,GTST20,GEO,10/1/1985 12:00:00 AM,1,-122.755065334,38.7790973040001
2425,T0039,Geothermal 1,0,Northern California Power Agency,Sonoma,110,"1, 2",GEO,1/1/1983 12:00:00 AM,1,-122.719211995,38.7519345470001
2426,T0046,Sonoma #3,0,Geysers Power Company LLC,Sonoma,78,SOST3,GEO,12/1/1983 12:00:00 AM,1,-122.756255644,38.79021371
2427,T0050,Calistoga #19,0,Geysers Power Company LLC,Lake,97,"CAST1, CAST2",GEO,3/1/1984 12:00:00 AM,1,-122.744892548,38.789585452
2428,T0055,McCabe #5-#6,0,Geysers Power Company LLC,Sonoma,110,"MCST5, MCST6",GEO,12/1/1971 12:00:00 AM,0,-122.808707826,38.80562503
2429,T0056,Ridge Line #7-#8,0,Geysers Power Company LLC,Sonoma,110,"RLST7, RLST8",GEO,1/1/1972 12:00:00 AM,0,-122.801312203,38.814933013
2430,T0058,Eagle Rock #11,0,Geysers Power Company LLC,Sonoma,110,ERST11,GEO,1/1/1975 12:00:00 AM,0,-122.800396001,38.8269747100001
2431,T0059,Cobb Creek #12,0,Geysers Power Company LLC,Sonoma,110,CCST12,GEO,1/1/1979 12:00:00 AM,0,-122.784191671,38.8046128120001
2432,T0060,Big Geysers #13,0,Geysers Power Company LLC,Lake,95,BGST13,GEO,1/1/1980 12:00:00 AM,0,-122.728695612,38.7726703860001
2433,T0061,Sulphur Springs #14,0,Geysers Power Company LLC,Sonoma,117.5,SSST14,GEO,1/1/1980 12:00:00 AM,0,-122.78231424,38.7861095710001
2434,T0080,Bottle Rock Power,0,Bottle Rock Power LLC,Lake,55,1,GEO,2/1/1985 12:00:00 AM,1,-122.768269233,38.834867914
